utterance_id,speaker_id,speaker_name,gender,nationality,original_set,event_id,file_path,split
utt_000017,id10002,A.R._Rahman,m,India,dev,cMGEuZ1zqXk,id10002/cMGEuZ1zqXk/00003.wav,test
utt_000018,id10002,A.R._Rahman,m,India,dev,cMGEuZ1zqXk,id10002/cMGEuZ1zqXk/00004.wav,test
utt_000019,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00001.wav,test
utt_000020,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00002.wav,test
utt_000021,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00003.wav,test
utt_000022,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00004.wav,test
utt_000023,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00005.wav,test
utt_000024,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00006.wav,test
utt_000025,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00007.wav,test
utt_000026,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00008.wav,test
utt_000027,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00009.wav,test
utt_000028,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00010.wav,test
utt_000029,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00011.wav,test
utt_000030,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00012.wav,test
utt_000031,id10002,A.R._Rahman,m,India,dev,eNc4LrrvV80,id10002/eNc4LrrvV80/00013.wav,test
utt_000032,id10002,A.R._Rahman,m,India,dev,gaQqIoV_aLY,id10002/gaQqIoV_aLY/00001.wav,test
utt_000033,id10002,A.R._Rahman,m,India,dev,gaQqIoV_aLY,id10002/gaQqIoV_aLY/00002.wav,test
utt_000034,id10002,A.R._Rahman,m,India,dev,gaQqIoV_aLY,id10002/gaQqIoV_aLY/00003.wav,test
utt_000035,id10002,A.R._Rahman,m,India,dev,gaQqIoV_aLY,id10002/gaQqIoV_aLY/00004.wav,test
utt_000036,id10002,A.R._Rahman,m,India,dev,gaQqIoV_aLY,id10002/gaQqIoV_aLY/00005.wav,test
utt_000037,id10002,A.R._Rahman,m,India,dev,gaQqIoV_aLY,id10002/gaQqIoV_aLY/00006.wav,test
utt_000038,id10002,A.R._Rahman,m,India,dev,gaQqIoV_aLY,id10002/gaQqIoV_aLY/00007.wav,test
utt_000039,id10002,A.R._Rahman,m,India,dev,gaQqIoV_aLY,id10002/gaQqIoV_aLY/00008.wav,test
utt_000040,id10002,A.R._Rahman,m,India,dev,Mpr9wqUuLQA,id10002/Mpr9wqUuLQA/00001.wav,test
utt_000041,id10002,A.R._Rahman,m,India,dev,Mpr9wqUuLQA,id10002/Mpr9wqUuLQA/00002.wav,test
utt_000042,id10002,A.R._Rahman,m,India,dev,Mpr9wqUuLQA,id10002/Mpr9wqUuLQA/00003.wav,test
utt_000043,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00001.wav,test
utt_000044,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00002.wav,test
utt_000045,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00003.wav,test
utt_000046,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00004.wav,test
utt_000047,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00005.wav,test
utt_000048,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00006.wav,test
utt_000049,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00007.wav,test
utt_000050,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00008.wav,test
utt_000051,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00009.wav,test
utt_000052,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00010.wav,test
utt_000053,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00011.wav,test
utt_000054,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00012.wav,test
utt_000055,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00013.wav,test
utt_000056,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00014.wav,test
utt_000057,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00015.wav,test
utt_000058,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00016.wav,test
utt_000059,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00017.wav,test
utt_000060,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00018.wav,test
utt_000061,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00019.wav,test
utt_000062,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00020.wav,test
utt_000063,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00021.wav,test
utt_000064,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00022.wav,test
utt_000065,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00023.wav,test
utt_000066,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00024.wav,test
utt_000067,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00025.wav,test
utt_000068,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00026.wav,test
utt_000069,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00027.wav,test
utt_000070,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00028.wav,test
utt_000071,id10002,A.R._Rahman,m,India,dev,QanuGhOhb9A,id10002/QanuGhOhb9A/00029.wav,test
utt_000072,id10002,A.R._Rahman,m,India,dev,QnnjJ9i5WFs,id10002/QnnjJ9i5WFs/00001.wav,test
utt_000073,id10002,A.R._Rahman,m,India,dev,QnnjJ9i5WFs,id10002/QnnjJ9i5WFs/00002.wav,test
utt_000074,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00001.wav,test
utt_000075,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00002.wav,test
utt_000076,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00003.wav,test
utt_000077,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00004.wav,test
utt_000078,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00005.wav,test
utt_000079,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00006.wav,test
utt_000080,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00007.wav,test
utt_000081,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00008.wav,test
utt_000082,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00009.wav,test
utt_000083,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00010.wav,test
utt_000084,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00011.wav,test
utt_000085,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00012.wav,test
utt_000086,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00013.wav,test
utt_000087,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00014.wav,test
utt_000088,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00015.wav,test
utt_000089,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00016.wav,test
utt_000090,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00017.wav,test
utt_000091,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00018.wav,test
utt_000092,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00019.wav,test
utt_000093,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00020.wav,test
utt_000094,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00021.wav,test
utt_000095,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00022.wav,test
utt_000096,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00023.wav,test
utt_000097,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00024.wav,test
utt_000098,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00025.wav,test
utt_000099,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00026.wav,test
utt_000100,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00027.wav,test
utt_000101,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00028.wav,test
utt_000102,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00029.wav,test
utt_000103,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00030.wav,test
utt_000104,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00031.wav,test
utt_000105,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00032.wav,test
utt_000106,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00033.wav,test
utt_000107,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00034.wav,test
utt_000108,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00035.wav,test
utt_000109,id10002,A.R._Rahman,m,India,dev,RLKKsYiCMvc,id10002/RLKKsYiCMvc/00036.wav,test
utt_000110,id10002,A.R._Rahman,m,India,dev,SI4D2_YXvBE,id10002/SI4D2_YXvBE/00001.wav,test
utt_000111,id10002,A.R._Rahman,m,India,dev,TqUbiOgEb0w,id10002/TqUbiOgEb0w/00001.wav,test
utt_000112,id10002,A.R._Rahman,m,India,dev,TqUbiOgEb0w,id10002/TqUbiOgEb0w/00002.wav,test
utt_000113,id10002,A.R._Rahman,m,India,dev,TqUbiOgEb0w,id10002/TqUbiOgEb0w/00003.wav,test
utt_000114,id10002,A.R._Rahman,m,India,dev,TqUbiOgEb0w,id10002/TqUbiOgEb0w/00004.wav,test
utt_000115,id10002,A.R._Rahman,m,India,dev,TqUbiOgEb0w,id10002/TqUbiOgEb0w/00005.wav,test
utt_000116,id10002,A.R._Rahman,m,India,dev,TqUbiOgEb0w,id10002/TqUbiOgEb0w/00006.wav,test
utt_000117,id10002,A.R._Rahman,m,India,dev,TqUbiOgEb0w,id10002/TqUbiOgEb0w/00007.wav,test
utt_000118,id10002,A.R._Rahman,m,India,dev,TqUbiOgEb0w,id10002/TqUbiOgEb0w/00008.wav,test
utt_000119,id10002,A.R._Rahman,m,India,dev,TqUbiOgEb0w,id10002/TqUbiOgEb0w/00009.wav,test
utt_000120,id10002,A.R._Rahman,m,India,dev,TqUbiOgEb0w,id10002/TqUbiOgEb0w/00010.wav,test
utt_000121,id10002,A.R._Rahman,m,India,dev,VMaXdHLz5Bk,id10002/VMaXdHLz5Bk/00001.wav,test
utt_000122,id10002,A.R._Rahman,m,India,dev,VMaXdHLz5Bk,id10002/VMaXdHLz5Bk/00002.wav,test
utt_000123,id10002,A.R._Rahman,m,India,dev,VMaXdHLz5Bk,id10002/VMaXdHLz5Bk/00003.wav,test
utt_000124,id10002,A.R._Rahman,m,India,dev,VMaXdHLz5Bk,id10002/VMaXdHLz5Bk/00004.wav,test
utt_000125,id10002,A.R._Rahman,m,India,dev,VMaXdHLz5Bk,id10002/VMaXdHLz5Bk/00005.wav,test
utt_000126,id10002,A.R._Rahman,m,India,dev,w9H-ZMvdE9M,id10002/w9H-ZMvdE9M/00001.wav,test
utt_000127,id10002,A.R._Rahman,m,India,dev,wd_7oYV4dsU,id10002/wd_7oYV4dsU/00001.wav,test
utt_000128,id10002,A.R._Rahman,m,India,dev,xTV-jFAUKcw,id10002/xTV-jFAUKcw/00001.wav,test
utt_000129,id10002,A.R._Rahman,m,India,dev,xTV-jFAUKcw,id10002/xTV-jFAUKcw/00002.wav,test
utt_000130,id10002,A.R._Rahman,m,India,dev,xTV-jFAUKcw,id10002/xTV-jFAUKcw/00003.wav,test
utt_000131,id10002,A.R._Rahman,m,India,dev,Y2Gr1I2DO7M,id10002/Y2Gr1I2DO7M/00001.wav,test
utt_000132,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00001.wav,test
utt_000133,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00002.wav,test
utt_000134,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00003.wav,test
utt_000135,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00004.wav,test
utt_000136,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00005.wav,test
utt_000137,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00006.wav,test
utt_000138,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00007.wav,test
utt_000139,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00008.wav,test
utt_000140,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00009.wav,test
utt_000141,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00010.wav,test
utt_000142,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00011.wav,test
utt_000143,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00012.wav,test
utt_000144,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00013.wav,test
utt_000145,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00014.wav,test
utt_000146,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00015.wav,test
utt_000147,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00016.wav,test
utt_000148,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00017.wav,test
utt_000149,id10003,Aamir_Khan,m,India,dev,5ablueV_1tw,id10003/5ablueV_1tw/00018.wav,test
utt_000150,id10003,Aamir_Khan,m,India,dev,_JpHD6VnJ3I,id10003/_JpHD6VnJ3I/00001.wav,test
utt_000151,id10003,Aamir_Khan,m,India,dev,_JpHD6VnJ3I,id10003/_JpHD6VnJ3I/00002.wav,test
utt_000152,id10003,Aamir_Khan,m,India,dev,A7Hh1WKmHsg,id10003/A7Hh1WKmHsg/00001.wav,test
utt_000153,id10003,Aamir_Khan,m,India,dev,A7Hh1WKmHsg,id10003/A7Hh1WKmHsg/00002.wav,test
utt_000154,id10003,Aamir_Khan,m,India,dev,A8SBCxYzJgs,id10003/A8SBCxYzJgs/00001.wav,test
utt_000155,id10003,Aamir_Khan,m,India,dev,A8SBCxYzJgs,id10003/A8SBCxYzJgs/00002.wav,test
utt_000156,id10003,Aamir_Khan,m,India,dev,A8SBCxYzJgs,id10003/A8SBCxYzJgs/00003.wav,test
utt_000157,id10003,Aamir_Khan,m,India,dev,A8SBCxYzJgs,id10003/A8SBCxYzJgs/00004.wav,test
utt_000158,id10003,Aamir_Khan,m,India,dev,A8SBCxYzJgs,id10003/A8SBCxYzJgs/00005.wav,test
utt_000159,id10003,Aamir_Khan,m,India,dev,A8SBCxYzJgs,id10003/A8SBCxYzJgs/00006.wav,test
utt_000160,id10003,Aamir_Khan,m,India,dev,bDxy7bnj_bc,id10003/bDxy7bnj_bc/00001.wav,test
utt_000161,id10003,Aamir_Khan,m,India,dev,bDxy7bnj_bc,id10003/bDxy7bnj_bc/00002.wav,test
utt_000162,id10003,Aamir_Khan,m,India,dev,bDxy7bnj_bc,id10003/bDxy7bnj_bc/00003.wav,test
utt_000163,id10003,Aamir_Khan,m,India,dev,bDxy7bnj_bc,id10003/bDxy7bnj_bc/00004.wav,test
utt_000164,id10003,Aamir_Khan,m,India,dev,bDxy7bnj_bc,id10003/bDxy7bnj_bc/00005.wav,test
utt_000165,id10003,Aamir_Khan,m,India,dev,bDxy7bnj_bc,id10003/bDxy7bnj_bc/00006.wav,test
utt_000166,id10003,Aamir_Khan,m,India,dev,bDxy7bnj_bc,id10003/bDxy7bnj_bc/00007.wav,test
utt_000167,id10003,Aamir_Khan,m,India,dev,bDxy7bnj_bc,id10003/bDxy7bnj_bc/00008.wav,test
utt_000168,id10003,Aamir_Khan,m,India,dev,bDxy7bnj_bc,id10003/bDxy7bnj_bc/00009.wav,test
utt_000169,id10003,Aamir_Khan,m,India,dev,bDxy7bnj_bc,id10003/bDxy7bnj_bc/00010.wav,test
utt_000170,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00001.wav,test
utt_000171,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00002.wav,test
utt_000172,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00003.wav,test
utt_000173,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00004.wav,test
utt_000174,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00005.wav,test
utt_000175,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00006.wav,test
utt_000176,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00007.wav,test
utt_000177,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00008.wav,test
utt_000178,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00009.wav,test
utt_000179,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00010.wav,test
utt_000180,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00011.wav,test
utt_000181,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00012.wav,test
utt_000182,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00013.wav,test
utt_000183,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00014.wav,test
utt_000184,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00015.wav,test
utt_000185,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00016.wav,test
utt_000186,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00017.wav,test
utt_000187,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00018.wav,test
utt_000188,id10003,Aamir_Khan,m,India,dev,BQxxhq4539A,id10003/BQxxhq4539A/00019.wav,test
utt_000189,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00001.wav,test
utt_000190,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00002.wav,test
utt_000191,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00003.wav,test
utt_000192,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00004.wav,test
utt_000193,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00005.wav,test
utt_000194,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00006.wav,test
utt_000195,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00007.wav,test
utt_000196,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00008.wav,test
utt_000197,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00009.wav,test
utt_000198,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00010.wav,test
utt_000199,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00011.wav,test
utt_000200,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00012.wav,test
utt_000201,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00013.wav,test
utt_000202,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00014.wav,test
utt_000203,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00015.wav,test
utt_000204,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00016.wav,test
utt_000205,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00017.wav,test
utt_000206,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00018.wav,test
utt_000207,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00019.wav,test
utt_000208,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00020.wav,test
utt_000209,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00021.wav,test
utt_000210,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00022.wav,test
utt_000211,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00023.wav,test
utt_000212,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00024.wav,test
utt_000213,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00025.wav,test
utt_000214,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00026.wav,test
utt_000215,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00027.wav,test
utt_000216,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00028.wav,test
utt_000217,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00029.wav,test
utt_000218,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00030.wav,test
utt_000219,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00031.wav,test
utt_000220,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00032.wav,test
utt_000221,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00033.wav,test
utt_000222,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00034.wav,test
utt_000223,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00035.wav,test
utt_000224,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00036.wav,test
utt_000225,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00037.wav,test
utt_000226,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00038.wav,test
utt_000227,id10003,Aamir_Khan,m,India,dev,E_6MjfYr0sQ,id10003/E_6MjfYr0sQ/00039.wav,test
